time,left,right,total
1689369515.5,0, 0, 0
1689369515.6,0, 0, 0
1689369515.7,0, 0, 0
1689369515.8,0, 0, 0
1689369515.9,0, 0, 0
1689369516.0,0, 0, 0
1689369516.1,0, 0, 0
1689369516.2,0, 0, 0
1689369516.3,0, 0, 0
1689369516.4,0, 1, 1
1689369516.5,0, 1, 1
1689369516.6,0, 1, 1
1689369516.7,0, 2, 2
1689369516.8,0, 2, 2
1689369516.9,0, 2, 2
1689369517.0,0, 1, 1
1689369517.1,0, 1, 1
1689369517.2,0, 0, 0
1689369517.3,0, 0, 0
1689369517.4,0, 0, 0
1689369517.5,0, 0, 0
1689369517.6,0, 0, 0
1689369517.7,0, 0, 0
1689369517.8,0, 0, 0
1689369517.9,0, 0, 0
1689369518.0,0, 0, 0
1689369518.1,0, 0, 0
1689369518.2,0, 0, 0
1689369518.3,0, 0, 0
1689369518.4,0, 0, 0
1689369518.5,0, 0, 0
1689369518.6,0, 0, 0
1689369518.7,0, 0, 0
1689369518.8,0, 0, 0
1689369518.9,0, 0, 0
1689369519.0,0, 0, 0
1689369519.1,0, 0, 0
1689369519.2,0, 0, 0
1689369519.3,0, 0, 0
1689369519.4,0, 0, 0
1689369519.5,0, 0, 0
1689369519.6,0, 0, 0
1689369519.7,0, 0, 0
1689369519.8,0, 0, 0
1689369519.9,0, 0, 0
1689369520.0,0, 0, 0
1689369520.1,0, 0, 0
1689369520.2,0, 0, 0
1689369520.3,0, 0, 0
1689369520.4,0, 0, 0
1689369520.5,0, 0, 0
1689369520.6,0, 0, 0
1689369520.7,0, 0, 0
1689369520.8,0, 0, 0
1689369520.9,0, 0, 0
1689369521.0,0, 0, 0
1689369521.1,0, 0, 0
1689369521.2,0, 0, 0
1689369521.3,0, 0, 0
1689369521.4,1, 0, 1
1689369521.5,1, 0, 1
1689369521.6,1, 0, 1
1689369521.7,1, 0, 1
1689369521.8,1, 0, 1
1689369521.9,1, 0, 1
1689369522.0,1, 0, 1
1689369522.1,1, 0, 1
1689369522.2,1, 0, 1
1689369522.3,1, 0, 1
1689369522.4,1, 0, 1
1689369522.5,1, 0, 1
1689369522.6,1, 0, 1
1689369522.7,1, 0, 1
1689369522.8,1, 0, 1
1689369522.9,1, 0, 1
1689369523.0,1, 0, 1
1689369523.1,1, 0, 1
1689369523.2,1, 0, 1
1689369523.3,1, 0, 1
1689369523.4,1, 0, 1
1689369523.5,1, 0, 1
1689369523.6,1, 0, 1
1689369523.7,1, 0, 1
1689369523.8,1, 0, 1
1689369523.9,1, 0, 1
1689369524.0,1, 0, 1
1689369524.1,1, 0, 1
1689369524.2,1, 0, 1
1689369524.3,1, 0, 1
1689369524.4,1, 0, 1
1689369524.5,1, 0, 1
1689369524.6,1, 0, 1
1689369524.7,1, 0, 1
1689369524.8,1, 0, 1
1689369524.9,1, 0, 1
1689369525.0,1, 0, 1
1689369525.1,1, 0, 1
1689369525.2,0, 0, 0
1689369525.3,0, 0, 0
1689369525.4,0, 0, 0
1689369525.5,0, 0, 0
1689369525.6,0, 0, 0
1689369525.7,0, 0, 0
1689369525.8,0, 0, 0
1689369525.9,0, 0, 0
1689369526.0,0, 0, 0
1689369526.1,0, 0, 0
1689369526.2,0, 0, 0
1689369526.3,0, 0, 0
1689369526.4,0, 0, 0
1689369526.5,0, 0, 0
1689369526.6,0, 0, 0
1689369526.7,0, 0, 0
1689369526.8,0, 0, 0
1689369526.9,0, 0, 0
1689369527.0,0, 0, 0
1689369527.1,0, 0, 0
1689369527.2,0, 0, 0
1689369527.3,0, 0, 0
1689369527.4,0, 0, 0
1689369527.5,0, 0, 0
1689369527.6,0, 0, 0
1689369527.7,0, 0, 0
1689369527.8,0, 0, 0
1689369527.9,0, 0, 0
1689369528.0,0, 0, 0
1689369528.1,0, 0, 0
1689369528.2,0, 0, 0
1689369528.3,0, 0, 0
1689369528.4,0, 0, 0
1689369528.5,0, 0, 0
1689369528.6,0, 0, 0
1689369528.7,0, 0, 0
1689369528.8,0, 0, 0
1689369528.9,0, 0, 0
1689369529.0,0, 0, 0
1689369529.1,0, 0, 0
1689369529.2,0, 0, 0
1689369529.3,0, 0, 0
1689369529.4,0, 0, 0
1689369529.5,0, 0, 0
1689369529.6,1, 0, 1
1689369529.7,1, 0, 1
1689369529.8,1, 0, 1
1689369529.9,1, 0, 1
1689369530.0,1, 0, 1
1689369530.1,1, 0, 1
1689369530.2,1, 0, 1
1689369530.3,1, 0, 1
1689369530.4,1, 0, 1
1689369530.5,1, 0, 1
1689369530.6,1, 0, 1
1689369530.7,1, 0, 1
1689369530.8,1, 0, 1
1689369530.9,1, 0, 1
1689369531.0,1, 0, 1
1689369531.1,1, 0, 1
1689369531.2,1, 0, 1
1689369531.3,1, 0, 1
1689369531.4,1, 0, 1
1689369531.5,1, 0, 1
1689369531.6,1, 0, 1
1689369531.7,1, 0, 1
1689369531.8,1, 0, 1
1689369531.9,1, 0, 1
1689369532.0,1, 0, 1
1689369532.1,1, 0, 1
1689369532.2,1, 0, 1
1689369532.3,1, 0, 1
1689369532.4,0, 0, 0
1689369532.5,0, 0, 0
1689369532.6,0, 0, 0
1689369532.7,0, 0, 0
1689369532.8,0, 0, 0
1689369532.9,0, 0, 0
1689369533.0,0, 0, 0
1689369533.1,0, 0, 0
1689369533.2,0, 0, 0
1689369533.3,1, 0, 1
1689369533.4,1, 0, 1
1689369533.5,1, 0, 1
1689369533.6,1, 0, 1
1689369533.7,1, 0, 1
1689369533.8,1, 0, 1
1689369533.9,1, 0, 1
1689369534.0,1, 0, 1
1689369534.1,1, 0, 1
1689369534.2,1, 0, 1
1689369534.3,1, 0, 1
1689369534.4,1, 0, 1
1689369534.5,1, 0, 1
1689369534.6,1, 0, 1
1689369534.7,1, 0, 1
1689369534.8,1, 0, 1
1689369534.9,1, 1, 2
1689369535.0,1, 1, 2
1689369535.1,1, 1, 2
1689369535.2,1, 1, 2
1689369535.3,1, 1, 2
1689369535.4,1, 1, 2
1689369535.5,1, 1, 2
1689369535.6,1, 1, 2
1689369535.7,1, 1, 2
1689369535.8,1, 1, 2
1689369535.9,1, 1, 2
1689369536.0,1, 1, 2
1689369536.1,1, 1, 2
1689369536.2,1, 1, 2
1689369536.3,0, 1, 1
1689369536.4,0, 1, 1
1689369536.5,0, 1, 1
1689369536.6,0, 0, 0
1689369536.7,0, 0, 0
1689369536.8,0, 0, 0
1689369536.9,0, 0, 0
1689369537.0,0, 0, 0
1689369537.1,0, 0, 0
1689369537.2,0, 0, 0
1689369537.3,0, 0, 0
1689369537.4,0, 0, 0
1689369537.5,0, 0, 0
1689369537.6,0, 0, 0
1689369537.7,0, 0, 0
1689369537.8,0, 0, 0
1689369537.9,0, 0, 0
1689369538.0,0, 0, 0
