time,left,right,total
1690395591.9,0, 0, 0
1690395592.0,0, 0, 0
1690395592.1,0, 0, 0
1690395592.2,0, 0, 0
1690395592.3,0, 0, 0
1690395592.4,0, 0, 0
1690395592.5,0, 0, 0
1690395592.6,0, 0, 0
1690395592.7,0, 0, 0
1690395592.8,0, 0, 0
1690395592.9,0, 0, 0
1690395593.0,0, 0, 0
1690395593.1,0, 0, 0
1690395593.2,0, 0, 0
1690395593.3,0, 0, 0
1690395593.4,0, 0, 0
1690395593.5,0, 0, 0
1690395593.6,0, 0, 0
1690395593.7,0, 0, 0
1690395593.8,0, 0, 0
1690395593.9,0, 0, 0
1690395594.0,0, 0, 0
1690395594.1,0, 0, 0
1690395594.2,0, 0, 0
1690395594.3,0, 0, 0
1690395594.4,0, 0, 0
1690395594.5,0, 0, 0
1690395594.6,0, 0, 0
1690395594.7,0, 0, 0
1690395594.8,0, 0, 0
1690395594.9,0, 0, 0
1690395595.0,0, 0, 0
1690395595.1,0, 0, 0
1690395595.2,0, 0, 0
1690395595.3,0, 0, 0
1690395595.4,0, 0, 0
1690395595.5,0, 0, 0
1690395595.6,0, 0, 0
1690395595.7,0, 0, 0
1690395595.8,0, 0, 0
1690395595.9,0, 0, 0
1690395596.0,0, 0, 0
